latitude,longitude,nkill,city,attacktype1_txt
31.147131,75.341218,0,Unknown,Armed Assault
26.200605,92.937574,3,Unknown,Bombing/Explosion
25.569805,83.794681,2,Sherpur,Assassination
28.585836,77.153336,2,New Delhi,Assassination
31.147131,75.341218,1,Unknown,Assassination
28.585836,77.153336,3,New Delhi,Bombing/Explosion
31.8186,75.2028,3,Batala,Bombing/Explosion
31.147131,75.341218,2,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
,,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,2,Unknown,Bombing/Explosion
31.633078,74.878288,1,Amritsar,Assassination
31.147131,75.341218,2,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
31.633078,74.878288,1,Amritsar,Armed Assault
31.326015,75.576183,2,Jalandhar district,Assassination
31.147131,75.341218,1,Unknown,Assassination
10.886576,79.116748,0,Thiruvaiyaru,Bombing/Explosion
31.147131,75.341218,1,Gumang Kalaveli,Assassination
32.040763,75.401886,0,Gurdaspur,Bombing/Explosion
30.954424,74.612085,2,Firozpur,Armed Assault
31.448943,74.925262,1,Tarn Taran,Assassination
31.8186,75.2028,6,Batala,Unknown
31.37148,75.393681,7,Kapurthala,Unknown
31.633078,74.878288,6,Amritsar,Armed Assault
30.725768,75.275614,2,Buttar,Armed Assault
31.448943,74.925262,1,Tarn Taran,Assassination
28.704059,77.10249,0,Delhi,Assassination
31.8186,75.2028,4,Batala,Armed Assault
31.448943,74.925262,2,Tarn Taran,Assassination
31.234401,76.505465,7,Anandpur Sahib,Armed Assault
31.147131,75.341218,8,Unknown,Armed Assault
14.681888,77.600591,0,Anantapur,Assassination
,,2,Gariala,Assassination
31.633078,74.878288,,Amritsar,Facility/Infrastructure Attack
30.898024,75.860077,10,Ludhiana,Armed Assault
31.147131,75.341218,8,Unknown,Armed Assault
31.326015,75.576183,20,Jalandhar,Armed Assault
23.940848,91.988153,5,Unknown,Armed Assault
31.326015,75.576183,5,Jalandhar,Hostage Taking (Kidnapping)
31.633078,74.878288,2,Amritsar,Armed Assault
30.954424,74.612085,0,Firozpur,Unknown
14.321944,76.725556,0,Rani Kere,Assassination
31.633078,74.878288,1,Amritsar,Assassination
31.633078,74.878288,3,Amritsar,Armed Assault
31.633078,74.878288,1,Amritsar,Assassination
31.633078,74.878288,2,Amritsar,Armed Assault
31.864464,74.955923,1,Fatehgarh Churian,Assassination
31.633078,74.878288,1,Amritsar,Unknown
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,3,Chola Sahels,Armed Assault
24.663717,93.906269,2,Unknown,Bombing/Explosion
30.34,76.38,1,Patiala,Assassination
30.898024,75.860077,1,Ludhiana,Assassination
31.633078,74.878288,2,Amritsar,Armed Assault
31.147131,75.341218,3,Unknown,Armed Assault
31.633078,74.878288,0,Amritsar,Assassination
31.633078,74.878288,5,Amritsar,Armed Assault
31.127019,75.481773,0,Nakodar,Armed Assault
31.147131,75.341218,1,Unknown,Assassination
31.326015,75.576183,1,Jalandhar,Assassination
31.040338,74.760291,1,Gulami Wala,Assassination
31.147131,75.341218,2,Unknown,Hostage Taking (Kidnapping)
31.147131,75.341218,15,Unknown,Armed Assault
31.147131,75.341218,2,Unknown,Armed Assault
31.147131,75.341218,1,Unknown,Assassination
28.690073,77.213982,0,Delhi,Bombing/Explosion
23.940848,91.988153,14,Unknown,Armed Assault
30.733315,76.779418,1,Chandigarh,Assassination
31.633979,74.872264,2,Amritsar district,Assassination
31.633078,74.878288,1,Amritsar,Assassination
31.175476,75.931082,1,Langeri,Assassination
31.326015,75.576183,3,Jalandhar,Unknown
31.633078,74.878288,1,Amritsar,Assassination
28.585836,77.153336,2,New Delhi,Assassination
24.777916,84.530497,11,Darmian,Unknown
26.846709,80.946159,2,Unknown,Armed Assault
31.147131,75.341218,2,Unknown,Assassination
31.147131,75.341218,3,Unknown,Armed Assault
28.585836,77.153336,4,New Delhi,Armed Assault
31.147131,75.341218,7,Unknown,Armed Assault
31.147131,75.341218,3,Unknown,Armed Assault
28.585836,77.153336,9,New Delhi,Armed Assault
31.147131,75.341218,7,Unknown,Unknown
28.585836,77.153336,1,New Delhi,Assassination
26.158435,94.562443,7,Unknown,Unknown
28.585836,77.153336,0,New Delhi,Assassination
31.147131,75.341218,4,Unknown,Armed Assault
30.733315,76.779418,1,Chandigarh,Assassination
31.147131,75.341218,4,Unknown,Unknown
30.733315,76.779418,24,Chandigarh,Armed Assault
31.633078,74.878288,34,Amritsar,Unknown
26.449923,80.331874,2,Kanpur,Armed Assault
28.585836,77.153336,4,New Delhi,Bombing/Explosion
26.350435,89.443486,13,Khagrabari,Unknown
33.934929,75.15416,1,Madora,Bombing/Explosion
11.127123,78.656894,0,Unknown,Bombing/Explosion
31.633078,74.878288,3,Amritsar,Armed Assault
32.040763,75.401886,2,Gurdaspur district,Armed Assault
31.147131,75.341218,2,Unknown,Armed Assault
30.672393,74.755048,3,Faridkot,Bombing/Explosion
30.81646,75.171709,1,Moga,Armed Assault
23.940848,91.988153,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Assassination
27.961391,73.455414,1,Gadhwala,Assassination
31.633078,74.878288,1,Amritsar,Unknown
28.585836,77.153336,1,New Delhi,Assassination
13.08268,80.270718,0,Chennai,Bombing/Explosion
28.585836,77.153336,2,New Delhi,Assassination
28.585836,77.153336,1,New Delhi,Unknown
13.08268,80.270718,0,Chennai,Unknown
13.08268,80.270718,0,Chennai,Unknown
28.585836,77.153336,0,New Delhi,Unknown
31.057879,76.300042,0,Balachaur,Assassination
28.585836,77.153336,1,New Delhi,Unknown
26.200605,92.937574,2,Unknown,Assassination
31.147131,75.341218,9,Unknown,Assassination
31.147131,75.341218,9,Unknown,Assassination
31.147131,75.341218,9,Unknown,Assassination
31.147131,75.341218,9,Unknown,Assassination
31.633078,74.878288,10,Amritsar,Assassination
30.733315,76.779418,0,Chandigarh,Assassination
28.585836,77.153336,4,New Delhi,Assassination
28.690073,77.213982,5,Delhi,Assassination
30.733315,76.779418,9,Chandigarh,Armed Assault
31.147131,75.341218,2,Unknown,Armed Assault
31.147131,75.341218,1,Unknown,Assassination
13.08268,80.270718,0,Chennai,Unknown
30.733315,76.779418,8,Chandigarh,Assassination
31.147131,75.341218,1,Unknown,Armed Assault
31.147131,75.341218,1,Unknown,Unknown
31.147131,75.341218,5,Unknown,Armed Assault
31.147131,75.341218,2,Unknown,Armed Assault
31.147131,75.341218,1,Unknown,Assassination
31.147131,75.341218,1,Unknown,Armed Assault
31.147131,75.341218,4,Unknown,Armed Assault
31.147131,75.341218,3,Unknown,Armed Assault
31.147131,75.341218,3,Unknown,Armed Assault
31.633078,74.878288,1,Amritsar,Assassination
13.08268,80.270718,32,Chennai,Bombing/Explosion
31.633979,74.872264,5,Amritsar district,Armed Assault
28.585836,77.153336,0,New Delhi,Bombing/Explosion
30.422689,75.430103,0,Pakhoke,Armed Assault
32.040763,75.401886,1,Gurdaspur District,Armed Assault
31.305986,75.63972,1,Rama Mandi,Assassination
31.326015,75.576183,4,Jalandhar,Bombing/Explosion
31.638549,75.135566,3,Tarsikka,Armed Assault
31.633078,74.878288,6,Amritsar,Assassination
30.898024,75.860077,1,Ludhiana,Assassination
28.585836,77.153336,4,New Delhi,Bombing/Explosion
28.585836,77.153336,2,New Delhi,Bombing/Explosion
28.585836,77.153336,3,New Delhi,Bombing/Explosion
28.585836,77.153336,5,New Delhi,Armed Assault
30.672393,74.755048,3,Faridkot,Armed Assault
28.585836,77.153336,1,New Delhi,Assassination
28.585836,77.153336,2,New Delhi,Assassination
31.731389,75.181944,7,Udhoke,Assassination
28.585836,77.153336,4,New Delhi,Assassination
31.633078,74.878288,0,Amritsar,Assassination
31.633078,74.878288,0,Amritsar,Assassination
27.046316,88.271156,0,Darjeeling,Bombing/Explosion
27.046316,88.271156,0,Darjeeling,Bombing/Explosion
27.046316,88.271156,0,Darjeeling,Bombing/Explosion
27.046316,88.271156,0,Darjeeling,Bombing/Explosion
27.046316,88.271156,0,Darjeeling,Bombing/Explosion
27.046316,88.271156,0,Darjeeling,Bombing/Explosion
27.046316,88.271156,0,Darjeeling,Bombing/Explosion
27.046316,88.271156,0,Darjeeling,Bombing/Explosion
27.046316,88.271156,1,Darjeeling,Facility/Infrastructure Attack
27.046316,88.271156,0,Darjeeling,Facility/Infrastructure Attack
27.046316,88.271156,0,Darjeeling,Facility/Infrastructure Attack
27.046316,88.271156,0,Darjeeling,Facility/Infrastructure Attack
27.046316,88.271156,0,Darjeeling,Facility/Infrastructure Attack
27.046316,88.271156,0,Darjeeling,Facility/Infrastructure Attack
27.046316,88.271156,0,Darjeeling,Armed Assault
26.882837,88.279816,0,Kurseong,Armed Assault
26.882837,88.279816,0,Kurseong,Armed Assault
31.513241,75.983333,1,Jahan Khelan,Assassination
30.954424,74.612085,1,Firozpur district,Assassination
,,1,Haltabadla,Assassination
26.882837,88.279816,0,Kurseong,Facility/Infrastructure Attack
31.84,74.76,5,Ajnala,Armed Assault
30.733315,76.779418,37,Chandigarh,Armed Assault
31.147131,75.341218,4,Unknown,Armed Assault
31.633078,74.878288,6,Amritsar,Assassination
31.51655,75.28897,4,Beas,Armed Assault
28.984462,77.706414,0,Meerut,Bombing/Explosion
21.36105,78.532366,10,Masli,Armed Assault
25.935728,82.082929,3,Ishanpur,Armed Assault
30.34,76.38,2,Patiala district,Armed Assault
30.756873,76.627553,1,Khanpur,Unknown
25.47283,82.570528,3,Rampur,Assassination
22.612097,70.956454,5,Wakaner,Assassination
28.690073,77.213982,0,Delhi,Bombing/Explosion
28.690073,77.213982,0,Delhi,Bombing/Explosion
31.147131,75.341218,2,Unknown,Armed Assault
28.690073,77.213982,1,Delhi,Assassination
28.690073,77.213982,1,Delhi,Assassination
28.690073,77.213982,0,Delhi,Bombing/Explosion
28.690073,77.213982,1,Delhi,Assassination
28.690073,77.213982,1,Delhi,Assassination
31.633078,74.878288,12,Amritsar,Armed Assault
31.767153,74.860947,13,Jagdev Kalan,Armed Assault
27.046316,88.271156,1,Darjeeling,Bombing/Explosion
22.551729,88.352341,0,Calcutta,Bombing/Explosion
28.585836,77.153336,0,New Delhi,Bombing/Explosion
31.555,75.265556,1,Baba Bakala,Assassination
31.103949,77.455318,1,Jabal,Assassination
31.234401,76.505465,3,Anandpur Sahib,Assassination
30.424444,77.758889,5,Lakhanwala,Assassination
18.107428,77.447009,6,Mustapur,Armed Assault
31.22402,75.770801,2,Phagwara,Bombing/Explosion
31.633979,74.872264,1,Amritsar District,Armed Assault
31.633979,74.872264,1,Amritsar District,Armed Assault
30.898024,75.860077,1,Ludhiana,Assassination
29.928467,73.871423,1,Sri Ganganagar,Assassination
